inj_id,target_layer,layer_weigths,bit_pos,n_injections,top_1_correct,top_5_correct,top_1_robust,top_5_robust,masked,non_critical,critical
15505,conv2d_18,"(1, 2, 45, 41)",13,10,10,10,10,10,0,10,0
15506,conv2d_18,"(0, 1, 55, 10)",10,10,10,10,10,10,3,7,0
15507,conv2d_18,"(1, 0, 14, 28)",30,10,4,6,4,6,0,4,6
15508,conv2d_18,"(0, 1, 38, 36)",15,10,10,10,10,10,0,10,0
15509,conv2d_18,"(0, 1, 44, 0)",26,10,10,10,10,10,0,10,0
15510,conv2d_18,"(1, 0, 62, 16)",0,10,10,10,10,10,10,0,0
15511,conv2d_18,"(1, 0, 62, 4)",11,10,10,10,10,10,0,10,0
15512,conv2d_18,"(1, 2, 17, 41)",15,10,10,10,10,10,1,9,0
15513,conv2d_18,"(1, 1, 49, 56)",5,10,10,10,10,10,9,1,0
15514,conv2d_18,"(1, 0, 12, 29)",0,10,10,10,10,10,10,0,0
15515,conv2d_18,"(1, 1, 63, 29)",19,10,10,10,10,10,0,10,0
15516,conv2d_18,"(0, 0, 39, 8)",19,10,10,10,10,10,0,10,0
15517,conv2d_18,"(0, 2, 13, 3)",30,10,3,4,3,4,0,3,7
15518,conv2d_18,"(2, 1, 20, 39)",15,10,10,10,10,10,1,9,0
15519,conv2d_18,"(0, 2, 59, 25)",16,10,10,10,10,10,5,5,0
15520,conv2d_18,"(0, 2, 36, 23)",23,10,10,10,10,10,2,8,0
15521,conv2d_18,"(2, 0, 28, 52)",11,10,10,10,10,10,1,9,0
15522,conv2d_18,"(0, 0, 19, 42)",3,10,10,10,10,10,10,0,0
15523,conv2d_18,"(2, 0, 36, 6)",25,10,10,10,10,10,0,10,0
15524,conv2d_18,"(2, 0, 46, 34)",23,10,10,10,10,10,2,8,0
15525,conv2d_18,"(1, 2, 51, 45)",30,10,6,6,6,6,0,6,4
15526,conv2d_18,"(0, 0, 24, 4)",29,10,10,10,10,10,0,10,0
